tahun,jenis,tanaman,tipe,satuan,bulan,daerah,total
2021,pangan,padi,luastanam,hektar,januari,cilacap,8588.1
2021,pangan,padi,luastanam,hektar,januari,banyumas,3352.8
2021,pangan,padi,luastanam,hektar,januari,purbalingga,3901.7
2021,pangan,padi,luastanam,hektar,januari,banjarnegara,2283.5
2021,pangan,padi,luastanam,hektar,januari,kebumen,1889.2
2021,pangan,padi,luastanam,hektar,januari,purworejo,3872
2021,pangan,padi,luastanam,hektar,januari,wonosobo,2556.2
2021,pangan,padi,luastanam,hektar,januari,magelang,5827.1
2021,pangan,padi,luastanam,hektar,januari,boyolali,2087.9
2021,pangan,padi,luastanam,hektar,januari,klaten,6968.9
2021,pangan,padi,luastanam,hektar,januari,sukoharjo,4239.5
2021,pangan,padi,luastanam,hektar,januari,wonogiri,1410.8
2021,pangan,padi,luastanam,hektar,januari,karanganyar,2529.8
2021,pangan,padi,luastanam,hektar,januari,sragen,189.3
2021,pangan,padi,luastanam,hektar,januari,grobogan,5509
2021,pangan,padi,luastanam,hektar,januari,blora,4777.6
2021,pangan,padi,luastanam,hektar,januari,rembang,6753.9
2021,pangan,padi,luastanam,hektar,januari,pati,3571.3
2021,pangan,padi,luastanam,hektar,januari,kudus,347.9
2021,pangan,padi,luastanam,hektar,januari,jepara,9573.8
2021,pangan,padi,luastanam,hektar,januari,demak,238.2
2021,pangan,padi,luastanam,hektar,januari,semarang,4995.8
2021,pangan,padi,luastanam,hektar,januari,temanggung,3072.1
2021,pangan,padi,luastanam,hektar,januari,kendal,4438.3
2021,pangan,padi,luastanam,hektar,januari,batang,4281.7
2021,pangan,padi,luastanam,hektar,januari,pekalongan,5742.4
2021,pangan,padi,luastanam,hektar,januari,pemalang,12244.5
2021,pangan,padi,luastanam,hektar,januari,tegal,9934.1
2021,pangan,padi,luastanam,hektar,januari,brebes,11014.1
2021,pangan,padi,luastanam,hektar,januari,magelang,24.1
2021,pangan,padi,luastanam,hektar,januari,surakarta,5.8
2021,pangan,padi,luastanam,hektar,januari,salatiga,57.9
2021,pangan,padi,luastanam,hektar,januari,semarang,558.2
2021,pangan,padi,luastanam,hektar,januari,pekalongan,176.6
2021,pangan,padi,luastanam,hektar,januari,tegal,23.2
2021,pangan,padi,luastanam,hektar,februari,cilacap,2411.3
2021,pangan,padi,luastanam,hektar,februari,banyumas,2261.4
2021,pangan,padi,luastanam,hektar,februari,purbalingga,2220.3
2021,pangan,padi,luastanam,hektar,februari,banjarnegara,1048.4
2021,pangan,padi,luastanam,hektar,februari,kebumen,36.2
2021,pangan,padi,luastanam,hektar,februari,purworejo,748.7
2021,pangan,padi,luastanam,hektar,februari,wonosobo,2344.7
2021,pangan,padi,luastanam,hektar,februari,magelang,6098.1
2021,pangan,padi,luastanam,hektar,februari,boyolali,5352.1
2021,pangan,padi,luastanam,hektar,februari,klaten,4471.3
2021,pangan,padi,luastanam,hektar,februari,sukoharjo,1901.9
2021,pangan,padi,luastanam,hektar,februari,wonogiri,1666.6
2021,pangan,padi,luastanam,hektar,februari,karanganyar,1370
2021,pangan,padi,luastanam,hektar,februari,sragen,5228.7
2021,pangan,padi,luastanam,hektar,februari,grobogan,15466.4
2021,pangan,padi,luastanam,hektar,februari,blora,6339.1
2021,pangan,padi,luastanam,hektar,februari,rembang,2594.3
2021,pangan,padi,luastanam,hektar,februari,pati,8174.7
2021,pangan,padi,luastanam,hektar,februari,kudus,125.6
