tingkat,tahun,bulan,tanggal,jenis,harga
pedagang_eceran,2025,januari,1,beras_premium,14400
pedagang_eceran,2025,januari,2,beras_premium,14651
pedagang_eceran,2025,januari,3,beras_premium,14719
pedagang_eceran,2025,januari,4,beras_premium,14646
pedagang_eceran,2025,januari,5,beras_premium,14718
pedagang_eceran,2025,januari,6,beras_premium,14846
pedagang_eceran,2025,januari,7,beras_premium,14898
pedagang_eceran,2025,januari,8,beras_premium,14869
pedagang_eceran,2025,januari,9,beras_premium,14817
pedagang_eceran,2025,januari,10,beras_premium,14792
pedagang_eceran,2025,januari,11,beras_premium,14821
pedagang_eceran,2025,januari,12,beras_premium,14832
pedagang_eceran,2025,januari,13,beras_premium,14805
pedagang_eceran,2025,januari,14,beras_premium,14829
pedagang_eceran,2025,januari,15,beras_premium,14761
pedagang_eceran,2025,januari,16,beras_premium,14785
pedagang_eceran,2025,januari,17,beras_premium,14805
pedagang_eceran,2025,januari,18,beras_premium,14788
pedagang_eceran,2025,januari,19,beras_premium,14749
pedagang_eceran,2025,januari,20,beras_premium,14770
pedagang_eceran,2025,januari,21,beras_premium,14772
pedagang_eceran,2025,januari,22,beras_premium,14783
pedagang_eceran,2025,januari,23,beras_premium,14795
pedagang_eceran,2025,januari,24,beras_premium,14806
pedagang_eceran,2025,januari,25,beras_premium,14810
pedagang_eceran,2025,januari,26,beras_premium,14783
pedagang_eceran,2025,januari,27,beras_premium,
pedagang_eceran,2025,januari,28,beras_premium,
pedagang_eceran,2025,januari,29,beras_premium,
pedagang_eceran,2025,januari,30,beras_premium,14805
pedagang_eceran,2025,januari,31,beras_premium,14806
pedagang_eceran,2025,januari,1,beras_medium,12900
pedagang_eceran,2025,januari,2,beras_medium,13101
pedagang_eceran,2025,januari,3,beras_medium,13092
pedagang_eceran,2025,januari,4,beras_medium,13065
pedagang_eceran,2025,januari,5,beras_medium,13043
pedagang_eceran,2025,januari,6,beras_medium,13047
pedagang_eceran,2025,januari,7,beras_medium,13082
pedagang_eceran,2025,januari,8,beras_medium,13051
pedagang_eceran,2025,januari,9,beras_medium,13057
pedagang_eceran,2025,januari,10,beras_medium,13056
pedagang_eceran,2025,januari,11,beras_medium,13023
pedagang_eceran,2025,januari,12,beras_medium,13060
pedagang_eceran,2025,januari,13,beras_medium,12996
pedagang_eceran,2025,januari,14,beras_medium,13232
pedagang_eceran,2025,januari,15,beras_medium,13050
pedagang_eceran,2025,januari,16,beras_medium,13029
pedagang_eceran,2025,januari,17,beras_medium,13083
pedagang_eceran,2025,januari,18,beras_medium,13093
pedagang_eceran,2025,januari,19,beras_medium,13045
pedagang_eceran,2025,januari,20,beras_medium,13046
pedagang_eceran,2025,januari,21,beras_medium,13052
pedagang_eceran,2025,januari,22,beras_medium,13080
pedagang_eceran,2025,januari,23,beras_medium,13081
pedagang_eceran,2025,januari,24,beras_medium,13094
pedagang_eceran,2025,januari,25,beras_medium,13104
pedagang_eceran,2025,januari,26,beras_medium,13075
pedagang_eceran,2025,januari,27,beras_medium,
pedagang_eceran,2025,januari,28,beras_medium,
pedagang_eceran,2025,januari,29,beras_medium,
pedagang_eceran,2025,januari,30,beras_medium,13132
pedagang_eceran,2025,januari,31,beras_medium,13127
pedagang_eceran,2025,januari,1,beras_sphp,11988.8888888889
pedagang_eceran,2025,januari,2,beras_sphp,12208
pedagang_eceran,2025,januari,3,beras_sphp,12201
pedagang_eceran,2025,januari,4,beras_sphp,12183
pedagang_eceran,2025,januari,5,beras_sphp,12188
pedagang_eceran,2025,januari,6,beras_sphp,12197
pedagang_eceran,2025,januari,7,beras_sphp,12203
pedagang_eceran,2025,januari,8,beras_sphp,12190
pedagang_eceran,2025,januari,9,beras_sphp,12206
pedagang_eceran,2025,januari,10,beras_sphp,12167
pedagang_eceran,2025,januari,11,beras_sphp,12180
pedagang_eceran,2025,januari,12,beras_sphp,12184
pedagang_eceran,2025,januari,13,beras_sphp,12183
pedagang_eceran,2025,januari,14,beras_sphp,12273
pedagang_eceran,2025,januari,15,beras_sphp,12186
pedagang_eceran,2025,januari,16,beras_sphp,12229
pedagang_eceran,2025,januari,17,beras_sphp,12214
pedagang_eceran,2025,januari,18,beras_sphp,12239
pedagang_eceran,2025,januari,19,beras_sphp,12222
pedagang_eceran,2025,januari,20,beras_sphp,12245
pedagang_eceran,2025,januari,21,beras_sphp,12200
pedagang_eceran,2025,januari,22,beras_sphp,12200
pedagang_eceran,2025,januari,23,beras_sphp,12175
pedagang_eceran,2025,januari,24,beras_sphp,12177
pedagang_eceran,2025,januari,25,beras_sphp,12199
pedagang_eceran,2025,januari,26,beras_sphp,12214
pedagang_eceran,2025,januari,27,beras_sphp,
pedagang_eceran,2025,januari,28,beras_sphp,
pedagang_eceran,2025,januari,29,beras_sphp,
pedagang_eceran,2025,januari,30,beras_sphp,12219
pedagang_eceran,2025,januari,31,beras_sphp,12220
pedagang_eceran,2025,januari,1,jagung,5333.33333333333
pedagang_eceran,2025,januari,2,jagung,5398
pedagang_eceran,2025,januari,3,jagung,5392
pedagang_eceran,2025,januari,4,jagung,5431
pedagang_eceran,2025,januari,5,jagung,5478
pedagang_eceran,2025,januari,6,jagung,5474
pedagang_eceran,2025,januari,7,jagung,5516
pedagang_eceran,2025,januari,8,jagung,5621
pedagang_eceran,2025,januari,9,jagung,5637
pedagang_eceran,2025,januari,10,jagung,5616
pedagang_eceran,2025,januari,11,jagung,5609
pedagang_eceran,2025,januari,12,jagung,5653
pedagang_eceran,2025,januari,13,jagung,5672
pedagang_eceran,2025,januari,14,jagung,5443
pedagang_eceran,2025,januari,15,jagung,5605
pedagang_eceran,2025,januari,16,jagung,5585
pedagang_eceran,2025,januari,17,jagung,5601
pedagang_eceran,2025,januari,18,jagung,5535
pedagang_eceran,2025,januari,19,jagung,5540
pedagang_eceran,2025,januari,20,jagung,5566
pedagang_eceran,2025,januari,21,jagung,5514
pedagang_eceran,2025,januari,22,jagung,5559
pedagang_eceran,2025,januari,23,jagung,5522
pedagang_eceran,2025,januari,24,jagung,5544
pedagang_eceran,2025,januari,25,jagung,5542
pedagang_eceran,2025,januari,26,jagung,5531
pedagang_eceran,2025,januari,27,jagung,
pedagang_eceran,2025,januari,28,jagung,
pedagang_eceran,2025,januari,29,jagung,
pedagang_eceran,2025,januari,30,jagung,5537
pedagang_eceran,2025,januari,31,jagung,5478
pedagang_eceran,2025,januari,1,kedelai,9961.11111111111
pedagang_eceran,2025,januari,2,kedelai,9284
pedagang_eceran,2025,januari,3,kedelai,9247
pedagang_eceran,2025,januari,4,kedelai,9208
pedagang_eceran,2025,januari,5,kedelai,9161
pedagang_eceran,2025,januari,6,kedelai,9225
pedagang_eceran,2025,januari,7,kedelai,9286
pedagang_eceran,2025,januari,8,kedelai,9118
pedagang_eceran,2025,januari,9,kedelai,9243
pedagang_eceran,2025,januari,10,kedelai,9294
pedagang_eceran,2025,januari,11,kedelai,9326
pedagang_eceran,2025,januari,12,kedelai,9336
pedagang_eceran,2025,januari,13,kedelai,9358
pedagang_eceran,2025,januari,14,kedelai,9377
pedagang_eceran,2025,januari,15,kedelai,9410
pedagang_eceran,2025,januari,16,kedelai,9431
pedagang_eceran,2025,januari,17,kedelai,9418
pedagang_eceran,2025,januari,18,kedelai,9346
pedagang_eceran,2025,januari,19,kedelai,9353
pedagang_eceran,2025,januari,20,kedelai,9396
pedagang_eceran,2025,januari,21,kedelai,9486
pedagang_eceran,2025,januari,22,kedelai,9463
pedagang_eceran,2025,januari,23,kedelai,9430
pedagang_eceran,2025,januari,24,kedelai,9437
pedagang_eceran,2025,januari,25,kedelai,9496
pedagang_eceran,2025,januari,26,kedelai,9434
pedagang_eceran,2025,januari,27,kedelai,
pedagang_eceran,2025,januari,28,kedelai,
pedagang_eceran,2025,januari,29,kedelai,
pedagang_eceran,2025,januari,30,kedelai,9555
pedagang_eceran,2025,januari,31,kedelai,9537
pedagang_eceran,2025,januari,1,bawang_merah,38000
pedagang_eceran,2025,januari,2,bawang_merah,38101
pedagang_eceran,2025,januari,3,bawang_merah,38446
pedagang_eceran,2025,januari,4,bawang_merah,38872
pedagang_eceran,2025,januari,5,bawang_merah,38673
pedagang_eceran,2025,januari,6,bawang_merah,38830
pedagang_eceran,2025,januari,7,bawang_merah,38216
pedagang_eceran,2025,januari,8,bawang_merah,37995
pedagang_eceran,2025,januari,9,bawang_merah,38036
pedagang_eceran,2025,januari,10,bawang_merah,38055
pedagang_eceran,2025,januari,11,bawang_merah,37100
pedagang_eceran,2025,januari,12,bawang_merah,37325
pedagang_eceran,2025,januari,13,bawang_merah,36300
pedagang_eceran,2025,januari,14,bawang_merah,36586
pedagang_eceran,2025,januari,15,bawang_merah,36089
pedagang_eceran,2025,januari,16,bawang_merah,35621
pedagang_eceran,2025,januari,17,bawang_merah,35467
pedagang_eceran,2025,januari,18,bawang_merah,35995
pedagang_eceran,2025,januari,19,bawang_merah,35659
pedagang_eceran,2025,januari,20,bawang_merah,35622
pedagang_eceran,2025,januari,21,bawang_merah,35092
pedagang_eceran,2025,januari,22,bawang_merah,34356
pedagang_eceran,2025,januari,23,bawang_merah,34143
pedagang_eceran,2025,januari,24,bawang_merah,33724
pedagang_eceran,2025,januari,25,bawang_merah,34061
pedagang_eceran,2025,januari,26,bawang_merah,33842
pedagang_eceran,2025,januari,27,bawang_merah,
pedagang_eceran,2025,januari,28,bawang_merah,
pedagang_eceran,2025,januari,29,bawang_merah,
pedagang_eceran,2025,januari,30,bawang_merah,32639
pedagang_eceran,2025,januari,31,bawang_merah,32912
pedagang_eceran,2025,januari,1,bawang_putih,38000
pedagang_eceran,2025,januari,2,bawang_putih,39030
pedagang_eceran,2025,januari,3,bawang_putih,39358
pedagang_eceran,2025,januari,4,bawang_putih,39507
pedagang_eceran,2025,januari,5,bawang_putih,39178
pedagang_eceran,2025,januari,6,bawang_putih,39394
pedagang_eceran,2025,januari,7,bawang_putih,39432
pedagang_eceran,2025,januari,8,bawang_putih,39646
pedagang_eceran,2025,januari,9,bawang_putih,39295
pedagang_eceran,2025,januari,10,bawang_putih,39444
pedagang_eceran,2025,januari,11,bawang_putih,39022
pedagang_eceran,2025,januari,12,bawang_putih,38789
pedagang_eceran,2025,januari,13,bawang_putih,38978
pedagang_eceran,2025,januari,14,bawang_putih,39448
pedagang_eceran,2025,januari,15,bawang_putih,39231
